Date / Time,Air Temp at Surface [degC],Relative Humidity [percent],Avg Wind Speed [m/s],Wind Direction [degrees],Solar Flux [W/m^2]
2021-07-24 13:00:00 EDT,26.7,44.8,1.9,338,763
2021-07-24 13:05:00 EDT,26.5,45.4,2.2,318,805
2021-07-24 13:10:00 EDT,26.3,44.9,1.8,347,839
2021-07-24 13:15:00 EDT,27.6,42.3,0.7,277,837
2021-07-24 13:20:00 EDT,27.4,40.2,1.9,28,834
2021-07-24 13:25:00 EDT,27.1,39.2,2.9,50,828
2021-07-24 13:30:00 EDT,27.6,40.3,1.6,110,546
2021-07-24 13:35:00 EDT,27.4,42.2,0.9,133,195
2021-07-24 13:40:00 EDT,27.4,42.3,1.3,184,347
2021-07-24 13:45:00 EDT,27.2,41.8,0.8,44,808
2021-07-24 13:50:00 EDT,27.8,40.1,0.9,160,679
2021-07-24 13:55:00 EDT,27.8,39.7,1.3,136,298
2021-07-24 14:00:00 EDT,27.9,39.8,0.7,162,626
2021-07-24 14:05:00 EDT,27.5,39.9,1.9,106,273
2021-07-24 14:10:00 EDT,27.6,40.4,1.3,134,187
2021-07-24 14:15:00 EDT,27.5,39.9,1.9,153,207
2021-07-24 14:20:00 EDT,27.4,41.9,2.3,145,294
2021-07-24 14:25:00 EDT,27.5,43,1.5,145,369
2021-07-24 14:30:00 EDT,27.3,43.5,1.2,93,242
2021-07-24 14:35:00 EDT,27.5,44.6,1.3,163,246
2021-07-24 14:40:00 EDT,27.2,45.2,1.8,146,464
2021-07-24 14:45:00 EDT,26.8,47,3.1,147,300
2021-07-24 14:50:00 EDT,27,48,2.3,161,204
2021-07-24 14:55:00 EDT,26.5,49.8,4.1,148,158
2021-07-24 15:00:00 EDT,26.1,51.1,4.1,139,140
2021-07-24 15:05:00 EDT,26.3,51.1,2.5,161,128
2021-07-24 15:10:00 EDT,26.3,50.9,3,158,219
2021-07-24 15:15:00 EDT,26.6,50.5,3.1,154,584
2021-07-24 15:20:00 EDT,26.7,49.7,2,132,448
2021-07-24 15:25:00 EDT,27.2,46.4,1.4,175,725
2021-07-24 15:30:00 EDT,27.3,45.4,3.8,202,349
2021-07-24 15:35:00 EDT,26.8,47.6,2.4,209,511
2021-07-24 15:40:00 EDT,27,47.2,3.2,142,658
2021-07-24 15:45:00 EDT,27.1,47.6,3.2,163,565
2021-07-24 15:50:00 EDT,26.6,48.3,3.5,184,181
2021-07-24 15:55:00 EDT,26.8,46.7,3.4,196,605
2021-07-24 16:00:00 EDT,27,46.1,2.7,209,620
2021-07-24 16:05:00 EDT,27.2,44.6,1.9,208,456
2021-07-24 16:10:00 EDT,27,45,2.4,200,439
2021-07-24 16:15:00 EDT,26.9,45,2.9,196,498
2021-07-24 16:20:00 EDT,27.1,44.3,2.2,202,359
2021-07-24 16:25:00 EDT,27,44,2.1,176,303
2021-07-24 16:30:00 EDT,27.1,44.5,2.3,168,162
2021-07-24 16:35:00 EDT,27,44.8,2.2,156,365
2021-07-24 16:40:00 EDT,26.9,45.5,2,176,173
2021-07-24 16:45:00 EDT,26.7,46.1,2,137,138
2021-07-24 16:50:00 EDT,26.3,46.4,3.6,149,139
2021-07-24 16:55:00 EDT,25.9,47.2,4,147,145
2021-07-24 17:00:00 EDT,25.9,47.6,2.3,165,170
2021-07-24 17:05:00 EDT,26.1,47.3,2.2,154,173
2021-07-24 17:10:00 EDT,25.8,47.6,2.3,146,174
2021-07-24 17:15:00 EDT,25.5,48.7,4.1,146,161
2021-07-24 17:20:00 EDT,25.5,49,2.4,178,154
2021-07-24 17:25:00 EDT,25.7,47.5,1.5,159,174
2021-07-24 17:30:00 EDT,25.9,46.7,1.9,169,301
2021-07-24 17:35:00 EDT,25.9,46.6,2.5,173,283
2021-07-24 17:40:00 EDT,25.8,47.7,2.2,164,321
2021-07-24 17:45:00 EDT,25.7,48.3,3.2,143,287
2021-07-24 17:50:00 EDT,25.5,49.3,2.8,157,224
2021-07-24 17:55:00 EDT,25.4,49,2,161,130
2021-07-24 18:00:00 EDT,25.2,48.9,3.2,148,109
2021-07-24 18:05:00 EDT,25.2,49.7,2.3,144,96
2021-07-24 18:10:00 EDT,25.3,49.3,2.3,165,117
2021-07-24 18:15:00 EDT,25.4,49.1,1.9,165,131
2021-07-24 18:20:00 EDT,25.3,49.2,2.3,155,107
2021-07-24 18:25:00 EDT,25.1,49.5,2.7,178,108
2021-07-24 18:30:00 EDT,25.1,48.3,3,178,113
2021-07-24 18:35:00 EDT,25,46.8,2.4,156,102
2021-07-24 18:40:00 EDT,25.2,46.2,2.6,176,99
2021-07-24 18:45:00 EDT,25.1,46.2,2.8,163,92
2021-07-24 18:50:00 EDT,25.1,46.3,3.1,172,119
2021-07-24 18:55:00 EDT,25.2,46.2,1.7,148,138
2021-07-24 19:00:00 EDT,25.3,45.8,2,160,119
2021-07-24 19:05:00 EDT,25.3,45.9,1.6,161,125
2021-07-24 19:10:00 EDT,25.3,45.7,1.5,156,124
2021-07-24 19:15:00 EDT,25.3,45.9,2.6,173,103
2021-07-24 19:20:00 EDT,25.2,46.3,2.4,171,69
2021-07-24 19:25:00 EDT,25.2,46.1,1.3,120,53
2021-07-24 19:30:00 EDT,25.1,46.1,2.4,177,38
2021-07-24 19:35:00 EDT,25,46.6,2,164,27
2021-07-24 19:40:00 EDT,25,46.8,2.2,168,21
2021-07-24 19:45:00 EDT,24.9,47.3,3,167,18
2021-07-24 19:50:00 EDT,24.8,48,2.4,184,19
2021-07-24 19:55:00 EDT,24.8,48,2,182,18
2021-07-24 20:00:00 EDT,24.6,48.1,3,169,14
