Date / Time,Air Temp at Surface [degC],Relative Humidity [percent],Avg Wind Speed [m/s],Wind Direction [degrees],Solar Flux [W/m^2]
2021-07-24 13:00:00 EDT,27.4,47.2,2.2,110,781
2021-07-24 13:05:00 EDT,27.3,45.8,1.9,132,577
2021-07-24 13:10:00 EDT,26.5,46.8,1.4,134,449
2021-07-24 13:15:00 EDT,26.5,47.4,1.2,125,368
2021-07-24 13:20:00 EDT,26.7,47,2.1,133,304
2021-07-24 13:25:00 EDT,26.8,46.4,1.1,59,491
2021-07-24 13:30:00 EDT,26.6,46.7,1.9,99,691
2021-07-24 13:35:00 EDT,26.9,46.6,1.4,110,392
2021-07-24 13:40:00 EDT,26.8,46.2,2.8,82,532
2021-07-24 13:45:00 EDT,27.4,46,2.9,104,670
2021-07-24 13:50:00 EDT,27.4,44.7,3.2,102,825
2021-07-24 13:55:00 EDT,27,45.2,2.3,65,881
2021-07-24 14:00:00 EDT,27,45.3,2,52,582
2021-07-24 14:05:00 EDT,26.6,46.3,1.9,57,255
2021-07-24 14:10:00 EDT,27,46,2.7,116,211
2021-07-24 14:15:00 EDT,27.2,44.6,2.8,127,498
2021-07-24 14:20:00 EDT,26.5,44.8,1.9,184,688
2021-07-24 14:25:00 EDT,27,44.8,2.4,152,793
2021-07-24 14:30:00 EDT,27.5,42.8,2.3,98,848
2021-07-24 14:35:00 EDT,28.2,42.2,2,117,843
2021-07-24 14:40:00 EDT,28.1,40.5,1.6,140,743
2021-07-24 14:45:00 EDT,28,40.7,1.6,107,767
2021-07-24 14:50:00 EDT,28.3,40.4,1.6,175,738
2021-07-24 14:55:00 EDT,28.4,39.6,2.1,82,724
2021-07-24 15:00:00 EDT,28,40.3,3,75,725
2021-07-24 15:05:00 EDT,28.1,40.2,1.7,92,558
2021-07-24 15:10:00 EDT,28.3,40.3,2.9,91,216
2021-07-24 15:15:00 EDT,28,40.7,3.1,114,236
2021-07-24 15:20:00 EDT,27.9,41.8,2.8,105,229
2021-07-24 15:25:00 EDT,27.3,44.4,3.7,162,511
2021-07-24 15:30:00 EDT,27.1,47.3,4.5,170,563
2021-07-24 15:35:00 EDT,26.9,47.7,3.5,149,292
2021-07-24 15:40:00 EDT,26.9,48.3,3,166,371
2021-07-24 15:45:00 EDT,27.3,47.4,3.5,146,646
2021-07-24 15:50:00 EDT,27.2,47.8,3.2,157,491
2021-07-24 15:55:00 EDT,27.2,47.3,2.6,165,621
2021-07-24 16:00:00 EDT,27.2,46.5,2.8,164,335
2021-07-24 16:05:00 EDT,27,47.4,3.7,129,195
2021-07-24 16:10:00 EDT,27,47.4,3.1,144,239
2021-07-24 16:15:00 EDT,26.7,47.5,4,173,246
2021-07-24 16:20:00 EDT,26.6,47.3,3.5,168,236
2021-07-24 16:25:00 EDT,26.9,47.7,2.7,145,204
2021-07-24 16:30:00 EDT,27.1,46.4,2.9,128,251
2021-07-24 16:35:00 EDT,26.7,46.5,3.7,177,252
2021-07-24 16:40:00 EDT,26.8,46.8,3.1,163,235
2021-07-24 16:45:00 EDT,26.8,46.9,2,160,159
2021-07-24 16:50:00 EDT,26.8,46.5,3.1,176,138
2021-07-24 16:55:00 EDT,26.7,46.8,2.2,141,134
2021-07-24 17:00:00 EDT,26.6,47.2,3.8,168,132
2021-07-24 17:05:00 EDT,26.6,47.5,2.8,162,163
2021-07-24 17:10:00 EDT,26.4,48.7,3.4,167,150
2021-07-24 17:15:00 EDT,26.3,49.8,3,163,132
2021-07-24 17:20:00 EDT,26.3,50.1,3.5,166,122
2021-07-24 17:25:00 EDT,26,50,4,168,146
2021-07-24 17:30:00 EDT,26,50.1,3.1,170,156
2021-07-24 17:35:00 EDT,25.9,50.1,3.1,165,191
2021-07-24 17:40:00 EDT,26,49.5,3.6,182,296
2021-07-24 17:45:00 EDT,25.7,50.3,4.4,169,323
2021-07-24 17:50:00 EDT,25.6,50.4,4,152,300
2021-07-24 17:55:00 EDT,25.7,49.5,3.2,159,192
2021-07-24 18:00:00 EDT,25.5,48.7,4,161,162
2021-07-24 18:05:00 EDT,25.5,48.7,3.9,171,142
2021-07-24 18:10:00 EDT,25.4,49.1,4.5,182,150
2021-07-24 18:15:00 EDT,25.3,50.7,3.8,179,157
2021-07-24 18:20:00 EDT,25.1,50.9,4.2,168,165
2021-07-24 18:25:00 EDT,25.1,50,4.5,162,138
2021-07-24 18:30:00 EDT,25.1,49.2,4.8,162,113
2021-07-24 18:35:00 EDT,25.2,49.2,4.3,165,109
2021-07-24 18:40:00 EDT,25.1,49.9,4,161,110
2021-07-24 18:45:00 EDT,25.2,49.7,3,171,121
2021-07-24 18:50:00 EDT,25.2,49.8,3,157,111
2021-07-24 18:55:00 EDT,25,50.1,3.5,158,105
2021-07-24 19:00:00 EDT,25,49.8,2.8,144,115
2021-07-24 19:05:00 EDT,25.2,49.1,2.4,164,169
2021-07-24 19:10:00 EDT,25.4,47.9,3.3,168,142
2021-07-24 19:15:00 EDT,25.1,48,3.7,164,93
2021-07-24 19:20:00 EDT,25.1,47.9,3.3,159,71
2021-07-24 19:25:00 EDT,25,48.3,4.5,177,57
2021-07-24 19:30:00 EDT,24.9,48.7,4,178,44
2021-07-24 19:35:00 EDT,24.9,49.1,3.4,187,34
2021-07-24 19:40:00 EDT,24.9,49,3.5,184,24
2021-07-24 19:45:00 EDT,24.8,49,3.3,173,19
2021-07-24 19:50:00 EDT,24.9,48.7,3.8,168,17
2021-07-24 19:55:00 EDT,24.9,47.3,4.1,171,16
2021-07-24 20:00:00 EDT,24.9,47.4,3.6,162,13
